gt,node,count,amplitude_mean_mean,amplitude_mean_std,amplitude_std_mean,amplitude_std_std,amplitude_rms_mean,amplitude_rms_std,amplitude_p90_mean,amplitude_p90_std,gradient_mean_mean,gradient_mean_std,phase_step_std_mean,phase_step_std_std,rssi_dbm_mean,rssi_dbm_std,snr_db_mean,snr_db_std,n_subcarriers_mean,n_subcarriers_std
5,2,8658,19.8377,5.93696,12.3239,6.42317,23.5152,8.30365,35.6983,14.3925,3.71957,1.41211,0.421574,0.286131,-49.0955,7.52854,46.1,7.52931,118.309,22.9427
5,3,8717,18.1521,4.9574,11.4136,5.37276,21.5676,6.9317,34.593,13.3425,3.73049,1.32107,0.468173,0.291169,-52.0067,3.9788,39.9933,3.9788,121.524,19.3015
5,4,8615,18.7742,5.87309,12.183,5.44012,22.4638,7.76926,34.8729,12.7253,3.56989,1.24728,0.453144,0.285569,-51.7833,5.38491,40.8967,5.45354,118.134,23.1112
5,5,8302,16.9081,4.64728,11.8916,4.82697,20.7888,6.32612,35.645,12.1059,3.6564,1.09405,0.560983,0.264542,-54.4675,5.2356,39.5325,5.2356,122.796,17.4925
5,6,8286,18.5095,5.0043,11.105,5.31252,21.6939,6.96873,33.2208,12.5122,3.97876,1.39154,0.473324,0.283218,-62.8762,5.14123,33.1051,5.14614,122.64,17.7304
5,7,8242,17.3193,4.1322,10.9701,4.47643,20.6081,5.72022,33.1762,10.6133,3.65525,1.04304,0.429901,0.279411,-61.8039,3.37908,33.1961,3.37908,121.671,19.1055
5,8,8312,17.4169,4.31885,10.8279,4.52496,20.5906,5.97892,32.2985,11.2086,3.62839,1.09998,0.472955,0.2712,-61.6461,7.08946,33.3539,7.08946,123.249,16.7783
5,9,8633,17.0347,4.31865,10.32,4.52295,20.0102,5.94833,31.6377,10.8591,3.69691,1.18697,0.523769,0.276939,-56.2413,6.73177,37.7587,6.73177,119.667,21.5386
5,10,8631,18.0485,4.89875,10.963,5.49516,21.2499,6.96932,33.2427,13.1125,3.45176,1.19877,0.444631,0.29171,-53.3421,6.86429,41.6579,6.86429,119.376,21.8543
6,1,8302,17.0504,4.48912,10.1854,4.93616,20.0126,6.20262,31.0754,11.4485,3.35043,1.26093,0.438656,0.292087,-56.1217,5.76203,37.8769,5.76204,118.071,23.172
6,2,8758,18.8052,5.86676,11.1303,6.31414,22.0422,8.12072,33.1355,13.9518,3.38815,1.47387,0.408595,0.291477,-52.3767,6.84067,42.6233,6.84067,113.816,26.5833
6,3,8751,17.6234,5.01446,10.787,5.49923,20.8173,6.99756,32.8522,13.219,3.61937,1.49945,0.454801,0.29331,-52.2681,4.38294,39.7319,4.38294,117.315,23.8691
6,4,8663,16.8066,4.93713,10.6255,4.80802,19.9882,6.58237,31.4775,11.291,3.23767,1.23368,0.437585,0.285425,-53.255,6.2662,38.8862,6.27395,114.54,26.0838
6,5,8036,18.0718,5.16587,11.7399,5.54035,21.6954,7.14887,35.3047,13.4186,3.59562,1.27813,0.464282,0.283007,-54.7832,6.53544,39.2168,6.53544,120.259,20.8701
6,6,8402,17.7058,4.67973,10.7194,5.08307,20.8276,6.50773,32.9092,12.2474,3.58332,1.33809,0.454562,0.284983,-60.7848,6.56932,35.2152,6.56932,120.596,20.4715
6,7,8033,18.1,5.13698,11.0108,5.5155,21.3269,7.12878,33.8018,13.2105,3.57808,1.33037,0.434677,0.283299,-61.4579,4.23056,33.5421,4.23056,119.061,22.1869
6,8,8297,17.3158,4.63246,10.7726,4.87461,20.4937,6.41221,32.0823,12.2012,3.61621,1.27892,0.454952,0.280531,-61.6517,7.46633,33.3483,7.46633,119.415,21.813
6,9,8707,17.2838,4.7764,10.1802,5.15148,20.2012,6.60503,31.5232,12.0336,3.4503,1.41272,0.452234,0.29762,-54.6235,7.89696,39.3765,7.89696,115.188,25.6103
6,10,8679,17.4799,4.88859,10.1666,5.56818,20.3808,6.95911,31.3678,12.9709,3.26968,1.32406,0.4185,0.285375,-54.3137,6.42096,40.6863,6.42096,114.011,26.4514
